Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%),Date de lancement
Créa Témoignage Vitamine D3+K2 - Marc,Vitamine D3+K2,Marc Petit,Témoignage,Convenience,Le shaker qui change tout,Août 2025,En pause,1822.70,132,2570.01,1.41,13.81,260278,5830,2.24,2025-08-23
Créa UGC Bundle Complet - David,Bundle Complet,David Chen,UGC,Valeur,Ne manquez jamais votre dose,Octobre 2025,En pause,2066.64,34,1839.31,0.89,60.78,289060,11331,3.92,2025-10-10
Créa Témoignage Omega-3 - Sarah,Omega-3,Sarah Martin,Témoignage,Testimonial,Parfait pour voyager,Septembre 2025,Arrêtée,1406.10,146,2587.22,1.84,9.63,96570,2868,2.97,2025-09-27
Créa UGC Omega-3 - Anna,Omega-3,Anna Schmidt,UGC,Accessoire,Boostez votre immunité,Juillet 2025,Arrêtée,2482.63,139,2408.15,0.97,17.86,125920,4470,3.55,2025-07-22
Créa Podcast Shaker - Camille,Shaker,Camille Rousseau,Podcast,Éducation,Emportez AG1 partout,Novembre 2025,Arrêtée,1903.72,31,2874.62,1.51,61.41,50101,1057,2.11,2025-11-19
Créa Podcast Bundle Complet - Pierre,Bundle Complet,Pierre Moreau,Podcast,Valeur,N'oubliez plus jamais,Septembre 2025,En ligne,2035.23,101,1119.38,0.55,20.15,178682,4699,2.63,2025-09-02
Créa Motion/Vidéo Bundle Complet - Marc,Bundle Complet,Marc Petit,Motion/Vidéo,Convenience,Ne manquez jamais votre dose,Octobre 2025,En ligne,598.98,38,2006.58,3.35,15.76,71585,2198,3.07,2025-10-11
Créa Motion/Vidéo AG1 Powder - Sarah,AG1 Powder,Sarah Martin,Motion/Vidéo,Valeur,Boostez votre immunité,Septembre 2025,En pause,2071.83,104,5221.01,2.52,19.92,102463,2469,2.41,2025-09-22
Créa Témoignage Abonnement - Sarah,Abonnement,Sarah Martin,Témoignage,Testimonial,Économisez avec le bundle,Septembre 2025,Archivée,2111.76,45,6483.10,3.07,46.93,178215,5792,3.25,2025-09-05
Créa Témoignage Abonnement - David,Abonnement,David Chen,Témoignage,Valeur,L'importance d'un bon mélange,Juillet 2025,Arrêtée,1401.57,38,1990.23,1.42,36.88,93235,1911,2.05,2025-07-05
Créa Podcast Abonnement - Dr.,Abonnement,Dr. Michael Lee,Podcast,Testimonial,Ma transformation en 2 mois,Septembre 2025,Archivée,2758.65,25,8082.84,2.93,110.35,154203,3763,2.44,2025-09-08
Créa Image statique Shaker - Lisa,Shaker,Lisa Garcia,Image statique,Testimonial,Boostez votre immunité,Juillet 2025,Arrêtée,1385.91,66,1344.33,0.97,21.00,271193,8624,3.18,2025-07-26
Créa Témoignage AG1 Powder - Dr.,AG1 Powder,Dr. Michael Lee,Témoignage,Éducation,Mon expérience avec Omega-3,Octobre 2025,En ligne,1634.21,102,1634.21,1.00,16.02,145854,5542,3.80,2025-10-02
Créa Témoignage Shaker - Sarah,Shaker,Sarah Martin,Témoignage,Convenience,Économisez avec le bundle,Octobre 2025,En ligne,2336.38,73,1775.65,0.76,32.01,229240,6442,2.81,2025-10-25
Créa Image statique Abonnement - Emma,Abonnement,Emma Wilson,Image statique,Éducation,Mon cœur me remercie,Octobre 2025,Archivée,1052.48,128,2578.58,2.45,8.22,60835,2008,3.30,2025-10-19
Créa Image statique Omega-3 - Dr.,Omega-3,Dr. Robert White,Image statique,Valeur,Je bois AG1 depuis 3 mois,Octobre 2025,Arrêtée,1073.28,127,2844.19,2.65,8.45,136070,4830,3.55,2025-10-19
Créa UGC AG1 Powder - Dr.,AG1 Powder,Dr. Robert White,UGC,Valeur,Mon expérience avec Omega-3,Octobre 2025,Arrêtée,2015.36,31,5058.55,2.51,65.01,261562,6748,2.58,2025-10-04
Créa Témoignage Bundle Complet - Anna,Bundle Complet,Anna Schmidt,Témoignage,Valeur,Mon cœur me remercie,Octobre 2025,En ligne,1068.26,96,3365.02,3.15,11.13,159299,5544,3.48,2025-10-11
Créa Image statique Bundle Complet - Anna,Bundle Complet,Anna Schmidt,Image statique,Santé,Ne manquez jamais votre dose,Septembre 2025,Arrêtée,2936.49,47,10189.62,3.47,62.48,79403,2247,2.83,2025-09-08
Créa Motion/Vidéo Abonnement - Camille,Abonnement,Camille Rousseau,Motion/Vidéo,Testimonial,Le shaker qui change tout,Septembre 2025,Arrêtée,1514.53,18,4664.75,3.08,84.14,148856,3260,2.19,2025-09-12
Créa Image statique Abonnement - Laura,Abonnement,Laura Davis,Image statique,Éducation,Emportez AG1 partout,Juillet 2025,En pause,2474.52,61,2622.99,1.06,40.57,147179,3871,2.63,2025-07-19
Créa Motion/Vidéo AG1 Powder - Dr.,AG1 Powder,Dr. Robert White,Motion/Vidéo,Santé,Le shaker qui change tout,Octobre 2025,En pause,1040.62,111,2445.46,2.35,9.37,258836,5669,2.19,2025-10-25
Créa UGC Vitamine D3+K2 - Marie,Vitamine D3+K2,Marie Dubois,UGC,Convenience,Parfait pour voyager,Octobre 2025,Arrêtée,2352.28,104,4586.95,1.95,22.62,293468,6133,2.09,2025-10-01
Créa Témoignage AG1 Powder - Kevin,AG1 Powder,Kevin Taylor,Témoignage,Convenience,Mon expérience avec Omega-3,Octobre 2025,Arrêtée,867.41,114,2342.01,2.70,7.61,285163,7443,2.61,2025-10-11
Créa Motion/Vidéo Abonnement - Paul,Abonnement,Paul Martinez,Motion/Vidéo,Éducation,Le meilleur rapport qualité-prix,Novembre 2025,Archivée,2146.76,119,2490.24,1.16,18.04,57368,1710,2.98,2025-11-03
Créa UGC Bundle Complet - Sophie,Bundle Complet,Sophie Martin,UGC,Valeur,N'oubliez plus jamais,Novembre 2025,Arrêtée,1680.82,73,1092.53,0.65,23.02,249154,8820,3.54,2025-11-04
Créa Image statique Abonnement - Lisa,Abonnement,Lisa Garcia,Image statique,Santé,Mon expérience avec Omega-3,Juillet 2025,Archivée,1662.68,131,2294.50,1.38,12.69,64634,1933,2.99,2025-07-25
Créa Motion/Vidéo Shaker - Julie,Shaker,Julie Bernard,Motion/Vidéo,Convenience,Pourquoi les nutritionnistes recommandent AG1,Septembre 2025,Arrêtée,830.17,117,1295.07,1.56,7.10,111457,4425,3.97,2025-09-04
Créa Motion/Vidéo Abonnement - Pierre,Abonnement,Pierre Moreau,Motion/Vidéo,Accessoire,Boostez votre immunité,Août 2025,Arrêtée,2840.82,35,9090.62,3.20,81.17,228887,6294,2.75,2025-08-07
Créa Image statique Vitamine D3+K2 - Sarah,Vitamine D3+K2,Sarah Martin,Image statique,Testimonial,Ma transformation en 2 mois,Septembre 2025,Archivée,1890.41,129,3478.35,1.84,14.65,132524,4281,3.23,2025-09-27
Créa Motion/Vidéo Omega-3 - Tom,Omega-3,Tom Brown,Motion/Vidéo,Accessoire,Emportez AG1 partout,Août 2025,En ligne,1620.14,34,4358.18,2.69,47.65,168667,5532,3.28,2025-08-14
Créa UGC Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. James Smith,UGC,Convenience,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,Arrêtée,2400.38,113,6625.05,2.76,21.24,192127,5898,3.07,2025-11-08
Créa Image statique AG1 Travel Packs - Anna,AG1 Travel Packs,Anna Schmidt,Image statique,Valeur,Économisez avec le bundle,Octobre 2025,Arrêtée,1233.16,72,1072.85,0.87,17.13,159067,6076,3.82,2025-10-21
Créa UGC Shaker - David,Shaker,David Chen,UGC,Valeur,Économisez avec le bundle,Novembre 2025,Archivée,686.96,45,1786.10,2.60,15.27,156826,3889,2.48,2025-11-22
Créa Podcast Omega-3 - Anna,Omega-3,Anna Schmidt,Podcast,Éducation,Ma transformation en 2 mois,Août 2025,Archivée,2515.34,99,4703.69,1.87,25.41,174787,6415,3.67,2025-08-10
Créa Témoignage Shaker - Alex,Shaker,Alex Johnson,Témoignage,Accessoire,Mon expérience avec Omega-3,Octobre 2025,Arrêtée,1624.41,109,4824.50,2.97,14.90,249022,5952,2.39,2025-10-23
Créa Motion/Vidéo AG1 Travel Packs - Alex,AG1 Travel Packs,Alex Johnson,Motion/Vidéo,Convenience,Boostez votre immunité,Novembre 2025,En ligne,1622.29,96,924.71,0.57,16.90,83606,3093,3.70,2025-11-23
Créa Podcast Shaker - Camille,Shaker,Camille Rousseau,Podcast,Éducation,Pourquoi les nutritionnistes recommandent AG1,Octobre 2025,En pause,1268.34,88,4236.26,3.34,14.41,214981,6213,2.89,2025-10-04
Créa Motion/Vidéo Omega-3 - Kevin,Omega-3,Kevin Taylor,Motion/Vidéo,Accessoire,Ma transformation en 2 mois,Octobre 2025,Arrêtée,2964.44,15,5365.64,1.81,197.63,268413,8321,3.10,2025-10-05
Créa Témoignage Bundle Complet - Kevin,Bundle Complet,Kevin Taylor,Témoignage,Accessoire,N'oubliez plus jamais,Novembre 2025,Arrêtée,1433.64,143,4487.29,3.13,10.03,77097,1897,2.46,2025-11-27
Créa Témoignage AG1 Travel Packs - Marc,AG1 Travel Packs,Marc Petit,Témoignage,Santé,Ne manquez jamais votre dose,Août 2025,En pause,1399.58,147,3386.98,2.42,9.52,193727,3933,2.03,2025-08-23
Créa Motion/Vidéo Bundle Complet - Tom,Bundle Complet,Tom Brown,Motion/Vidéo,Valeur,Mon cœur me remercie,Septembre 2025,En pause,1299.58,62,3664.82,2.82,20.96,223710,8523,3.81,2025-09-22
Créa Motion/Vidéo AG1 Travel Packs - David,AG1 Travel Packs,David Chen,Motion/Vidéo,Convenience,Économisez avec le bundle,Septembre 2025,Archivée,631.02,49,2025.57,3.21,12.88,165489,3310,2.00,2025-09-20
Créa Motion/Vidéo Vitamine D3+K2 - Lisa,Vitamine D3+K2,Lisa Garcia,Motion/Vidéo,Convenience,Économisez avec le bundle,Juillet 2025,En pause,674.63,37,465.49,0.69,18.23,179588,5585,3.11,2025-07-10
Créa Motion/Vidéo Bundle Complet - Alex,Bundle Complet,Alex Johnson,Motion/Vidéo,Accessoire,Mon expérience avec Omega-3,Octobre 2025,En ligne,1079.07,139,3712.00,3.44,7.76,110642,2379,2.15,2025-10-11
Créa UGC AG1 Powder - Dr.,AG1 Powder,Dr. James Smith,UGC,Accessoire,Emportez AG1 partout,Août 2025,En ligne,1222.03,27,1759.72,1.44,45.26,203278,6139,3.02,2025-08-05
Créa Image statique Bundle Complet - Marc,Bundle Complet,Marc Petit,Image statique,Convenience,Mon expérience avec Omega-3,Octobre 2025,En ligne,2614.92,111,2458.02,0.94,23.56,89019,1878,2.11,2025-10-09
Créa Image statique AG1 Powder - Marie,AG1 Powder,Marie Dubois,Image statique,Convenience,Ne manquez jamais votre dose,Octobre 2025,Archivée,1546.59,20,1840.44,1.19,77.33,294199,9591,3.26,2025-10-16
Créa Podcast Shaker - Dr.,Shaker,Dr. Michael Lee,Podcast,Accessoire,L'importance d'un bon mélange,Juillet 2025,En pause,2228.17,66,3877.02,1.74,33.76,82984,2108,2.54,2025-07-15
Créa Motion/Vidéo Vitamine D3+K2 - Alex,Vitamine D3+K2,Alex Johnson,Motion/Vidéo,Valeur,Boostez votre immunité,Novembre 2025,Arrêtée,1458.05,53,2624.49,1.80,27.51,142820,2942,2.06,2025-11-14
Créa UGC Shaker - Dr.,Shaker,Dr. Michael Lee,UGC,Convenience,Mon expérience avec Omega-3,Novembre 2025,Archivée,2294.22,80,2661.30,1.16,28.68,53133,1164,2.19,2025-11-03
Créa Motion/Vidéo AG1 Travel Packs - Kevin,AG1 Travel Packs,Kevin Taylor,Motion/Vidéo,Convenience,Mon cœur me remercie,Septembre 2025,En pause,2691.03,59,6889.04,2.56,45.61,182111,6064,3.33,2025-09-22
Créa Motion/Vidéo AG1 Travel Packs - Tom,AG1 Travel Packs,Tom Brown,Motion/Vidéo,Convenience,Mon cœur me remercie,Octobre 2025,Archivée,1997.11,59,6350.81,3.18,33.85,204011,4345,2.13,2025-10-09
Créa Podcast Omega-3 - Kevin,Omega-3,Kevin Taylor,Podcast,Testimonial,Boostez votre immunité,Octobre 2025,En pause,2019.02,91,1938.26,0.96,22.19,121017,3098,2.56,2025-10-22
Créa Motion/Vidéo AG1 Powder - Paul,AG1 Powder,Paul Martinez,Motion/Vidéo,Testimonial,Essentiel en hiver,Août 2025,Arrêtée,1174.65,128,2067.38,1.76,9.18,259242,6300,2.43,2025-08-13
Créa Image statique AG1 Powder - Emma,AG1 Powder,Emma Wilson,Image statique,Valeur,Emportez AG1 partout,Novembre 2025,Arrêtée,2231.89,120,7766.98,3.48,18.60,59478,1374,2.31,2025-11-14
Créa Image statique AG1 Powder - David,AG1 Powder,David Chen,Image statique,Santé,Mon expérience avec Omega-3,Novembre 2025,En ligne,730.33,125,766.85,1.05,5.84,132493,5260,3.97,2025-11-26
Créa Image statique AG1 Travel Packs - Alex,AG1 Travel Packs,Alex Johnson,Image statique,Santé,Le meilleur rapport qualité-prix,Novembre 2025,Arrêtée,1021.89,86,3484.64,3.41,11.88,257562,9015,3.50,2025-11-23
Créa Motion/Vidéo Abonnement - Tom,Abonnement,Tom Brown,Motion/Vidéo,Éducation,Je bois AG1 depuis 3 mois,Août 2025,Arrêtée,2494.55,51,4714.70,1.89,48.91,171902,5982,3.48,2025-08-20
Créa Image statique AG1 Powder - Paul,AG1 Powder,Paul Martinez,Image statique,Convenience,Économisez avec le bundle,Novembre 2025,Arrêtée,1178.30,78,2262.34,1.92,15.11,205244,4680,2.28,2025-11-27
Créa Image statique Abonnement - Lisa,Abonnement,Lisa Garcia,Image statique,Valeur,Essentiel en hiver,Novembre 2025,Arrêtée,794.82,137,1390.94,1.75,5.80,272326,10430,3.83,2025-11-12
Créa Image statique Omega-3 - Marc,Omega-3,Marc Petit,Image statique,Éducation,Le shaker qui change tout,Octobre 2025,En pause,1962.80,37,4887.37,2.49,53.05,216585,5545,2.56,2025-10-17
Créa UGC Shaker - Dr.,Shaker,Dr. Michael Lee,UGC,Santé,Je bois AG1 depuis 3 mois,Octobre 2025,En ligne,1264.92,56,3099.05,2.45,22.59,185420,7306,3.94,2025-10-06
Créa Podcast Omega-3 - Claire,Omega-3,Claire Anderson,Podcast,Testimonial,Mon expérience avec Omega-3,Août 2025,Archivée,2624.60,33,5091.72,1.94,79.53,67798,1722,2.54,2025-08-16
Créa Motion/Vidéo Abonnement - Lisa,Abonnement,Lisa Garcia,Motion/Vidéo,Santé,Essentiel en hiver,Septembre 2025,Archivée,1155.74,98,3698.37,3.20,11.79,151068,4139,2.74,2025-09-09
Créa Image statique Abonnement - Laura,Abonnement,Laura Davis,Image statique,Convenience,Le meilleur rapport qualité-prix,Juillet 2025,En pause,1830.43,125,4978.77,2.72,14.64,172544,4728,2.74,2025-07-09
Créa Image statique AG1 Travel Packs - Alex,AG1 Travel Packs,Alex Johnson,Image statique,Convenience,Mon cœur me remercie,Septembre 2025,Archivée,919.25,149,2500.36,2.72,6.17,188632,5263,2.79,2025-09-12
Créa Témoignage Bundle Complet - Camille,Bundle Complet,Camille Rousseau,Témoignage,Convenience,Boostez votre immunité,Juillet 2025,Arrêtée,2029.66,107,5398.90,2.66,18.97,289490,11261,3.89,2025-07-23
Créa Témoignage Vitamine D3+K2 - Tom,Vitamine D3+K2,Tom Brown,Témoignage,Valeur,Le shaker qui change tout,Octobre 2025,Arrêtée,2591.64,42,4457.62,1.72,61.71,212985,6390,3.00,2025-10-07
Créa Témoignage Abonnement - Pierre,Abonnement,Pierre Moreau,Témoignage,Santé,L'importance d'un bon mélange,Août 2025,En pause,2013.26,80,6321.64,3.14,25.17,66532,2009,3.02,2025-08-16
Créa UGC AG1 Travel Packs - Claire,AG1 Travel Packs,Claire Anderson,UGC,Accessoire,L'importance d'un bon mélange,Juillet 2025,En ligne,2979.59,29,8432.24,2.83,102.74,142157,5103,3.59,2025-07-22
Créa Image statique Shaker - Claire,Shaker,Claire Anderson,Image statique,Testimonial,Mon cœur me remercie,Juillet 2025,En pause,1796.93,51,5390.79,3.00,35.23,194971,7428,3.81,2025-07-20
Créa Témoignage Abonnement - Emma,Abonnement,Emma Wilson,Témoignage,Testimonial,Pourquoi les nutritionnistes recommandent AG1,Septembre 2025,En pause,1619.15,39,5456.54,3.37,41.52,220561,5051,2.29,2025-09-28
Créa Podcast AG1 Travel Packs - Alex,AG1 Travel Packs,Alex Johnson,Podcast,Santé,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,En ligne,1807.38,83,1373.61,0.76,21.78,126666,2711,2.14,2025-11-16
Créa Image statique Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,Image statique,Éducation,Mon cœur me remercie,Novembre 2025,Arrêtée,1286.12,146,4115.58,3.20,8.81,57530,2163,3.76,2025-11-19
Créa Motion/Vidéo Shaker - Anna,Shaker,Anna Schmidt,Motion/Vidéo,Testimonial,N'oubliez plus jamais,Septembre 2025,Arrêtée,1745.61,33,3595.96,2.06,52.90,140724,3476,2.47,2025-09-11
Créa UGC Shaker - Tom,Shaker,Tom Brown,UGC,Accessoire,Boostez votre immunité,Septembre 2025,Archivée,2799.13,61,9265.12,3.31,45.89,219416,8272,3.77,2025-09-03
Créa UGC AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. Michael Lee,UGC,Convenience,Le meilleur rapport qualité-prix,Août 2025,En ligne,705.65,36,2046.38,2.90,19.60,85005,3086,3.63,2025-08-12
Créa Image statique AG1 Travel Packs - Pierre,AG1 Travel Packs,Pierre Moreau,Image statique,Accessoire,Le meilleur rapport qualité-prix,Août 2025,Archivée,2765.73,28,8877.99,3.21,98.78,272607,7388,2.71,2025-08-12
Créa Témoignage AG1 Powder - Dr.,AG1 Powder,Dr. James Smith,Témoignage,Santé,Parfait pour voyager,Septembre 2025,En pause,1814.68,98,2631.29,1.45,18.52,207114,5551,2.68,2025-09-07
Créa UGC Bundle Complet - Emma,Bundle Complet,Emma Wilson,UGC,Convenience,L'importance d'un bon mélange,Novembre 2025,En ligne,2105.58,39,4821.78,2.29,53.99,134265,3289,2.45,2025-11-08
Créa Témoignage Abonnement - Dr.,Abonnement,Dr. Robert White,Témoignage,Santé,Économisez avec le bundle,Septembre 2025,En pause,1014.90,139,527.75,0.52,7.30,51484,1658,3.22,2025-09-01
Créa Motion/Vidéo Bundle Complet - Pierre,Bundle Complet,Pierre Moreau,Motion/Vidéo,Accessoire,Mon cœur me remercie,Août 2025,Arrêtée,2833.32,49,8471.63,2.99,57.82,55165,1771,3.21,2025-08-27
Créa Podcast AG1 Powder - Dr.,AG1 Powder,Dr. James Smith,Podcast,Accessoire,N'oubliez plus jamais,Novembre 2025,Arrêtée,1514.22,86,4936.36,3.26,17.61,196723,7082,3.60,2025-11-10
Créa UGC Shaker - Marie,Shaker,Marie Dubois,UGC,Valeur,Emportez AG1 partout,Juillet 2025,Arrêtée,1045.66,45,836.53,0.80,23.24,145085,5789,3.99,2025-07-09
Créa Motion/Vidéo AG1 Powder - Claire,AG1 Powder,Claire Anderson,Motion/Vidéo,Convenience,Ne manquez jamais votre dose,Septembre 2025,Arrêtée,2834.28,15,6122.04,2.16,188.95,89790,3277,3.65,2025-09-20
Créa Podcast AG1 Powder - Marc,AG1 Powder,Marc Petit,Podcast,Convenience,Mon expérience avec Omega-3,Novembre 2025,En ligne,2473.00,132,6157.77,2.49,18.73,179062,5587,3.12,2025-11-19
Créa UGC Omega-3 - Marc,Omega-3,Marc Petit,UGC,Santé,N'oubliez plus jamais,Juillet 2025,Archivée,992.81,99,863.74,0.87,10.03,257956,8590,3.33,2025-07-05
Créa Podcast Bundle Complet - Julie,Bundle Complet,Julie Bernard,Podcast,Testimonial,Économisez avec le bundle,Août 2025,En pause,1671.79,106,5533.62,3.31,15.77,96679,3132,3.24,2025-08-20
Créa Podcast Abonnement - Emma,Abonnement,Emma Wilson,Podcast,Valeur,Mon cœur me remercie,Octobre 2025,En pause,1356.30,104,3539.94,2.61,13.04,122111,4372,3.58,2025-10-26
Créa Motion/Vidéo Abonnement - Sophie,Abonnement,Sophie Martin,Motion/Vidéo,Éducation,Ne manquez jamais votre dose,Novembre 2025,En ligne,2388.89,111,2508.33,1.05,21.52,141214,3573,2.53,2025-11-01
Créa Témoignage AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. Robert White,Témoignage,Convenience,Pourquoi les nutritionnistes recommandent AG1,Septembre 2025,En ligne,2562.95,139,6074.19,2.37,18.44,142060,4688,3.30,2025-09-10
Créa Témoignage AG1 Travel Packs - Tom,AG1 Travel Packs,Tom Brown,Témoignage,Valeur,Le meilleur rapport qualité-prix,Novembre 2025,Arrêtée,1348.47,24,2575.58,1.91,56.19,299165,10740,3.59,2025-11-24
Créa Motion/Vidéo AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. James Smith,Motion/Vidéo,Éducation,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,En ligne,722.44,79,1748.30,2.42,9.14,50790,1834,3.61,2025-11-19
Créa Témoignage Omega-3 - Kevin,Omega-3,Kevin Taylor,Témoignage,Testimonial,Mon expérience avec Omega-3,Septembre 2025,En pause,1322.84,101,2381.11,1.80,13.10,282635,9836,3.48,2025-09-26
Créa Témoignage Shaker - Dr.,Shaker,Dr. Robert White,Témoignage,Accessoire,Économisez avec le bundle,Juillet 2025,Arrêtée,2170.42,88,1237.14,0.57,24.66,81549,3001,3.68,2025-07-14
Créa Image statique Bundle Complet - Claire,Bundle Complet,Claire Anderson,Image statique,Convenience,Mon cœur me remercie,Juillet 2025,En pause,2749.38,26,7065.91,2.57,105.75,231768,8228,3.55,2025-07-18
Créa Podcast AG1 Travel Packs - Tom,AG1 Travel Packs,Tom Brown,Podcast,Convenience,Pourquoi les nutritionnistes recommandent AG1,Septembre 2025,Arrêtée,2959.96,97,6926.31,2.34,30.52,170335,5451,3.20,2025-09-28
Créa Motion/Vidéo Vitamine D3+K2 - Camille,Vitamine D3+K2,Camille Rousseau,Motion/Vidéo,Éducation,Le meilleur rapport qualité-prix,Juillet 2025,Arrêtée,854.09,97,2681.84,3.14,8.81,137592,4747,3.45,2025-07-17
Créa Motion/Vidéo Bundle Complet - Julie,Bundle Complet,Julie Bernard,Motion/Vidéo,Convenience,L'importance d'un bon mélange,Août 2025,En ligne,2994.69,63,6768.00,2.26,47.53,179789,5430,3.02,2025-08-07
Créa Image statique Abonnement - Paul,Abonnement,Paul Martinez,Image statique,Santé,Mon cœur me remercie,Octobre 2025,En ligne,1710.88,61,2959.82,1.73,28.05,149021,5067,3.40,2025-10-28
Créa Témoignage Vitamine D3+K2 - Anna,Vitamine D3+K2,Anna Schmidt,Témoignage,Santé,Je bois AG1 depuis 3 mois,Novembre 2025,En pause,743.65,19,1011.36,1.36,39.14,80702,2720,3.37,2025-11-22
Créa Image statique AG1 Travel Packs - Marc,AG1 Travel Packs,Marc Petit,Image statique,Testimonial,Le shaker qui change tout,Octobre 2025,Archivée,715.08,82,1337.20,1.87,8.72,185305,7116,3.84,2025-10-24
Créa Témoignage AG1 Powder - Julie,AG1 Powder,Julie Bernard,Témoignage,Accessoire,L'importance d'un bon mélange,Novembre 2025,En pause,1069.42,49,2662.86,2.49,21.82,51335,1109,2.16,2025-11-06
Créa Témoignage Vitamine D3+K2 - Claire,Vitamine D3+K2,Claire Anderson,Témoignage,Valeur,Essentiel en hiver,Novembre 2025,Arrêtée,2030.54,138,4609.33,2.27,14.71,62974,1423,2.26,2025-11-18
Créa Podcast Abonnement - Laura,Abonnement,Laura Davis,Podcast,Éducation,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,Arrêtée,2107.87,148,6977.05,3.31,14.24,190057,3953,2.08,2025-11-10
Créa UGC Vitamine D3+K2 - Sarah,Vitamine D3+K2,Sarah Martin,UGC,Convenience,Le meilleur rapport qualité-prix,Novembre 2025,En ligne,1428.88,83,3943.71,2.76,17.22,171548,6587,3.84,2025-11-08
Créa Motion/Vidéo AG1 Powder - Marc,AG1 Powder,Marc Petit,Motion/Vidéo,Éducation,Je bois AG1 depuis 3 mois,Août 2025,En ligne,1749.74,56,4146.88,2.37,31.25,112563,3557,3.16,2025-08-21
Créa Image statique Shaker - Kevin,Shaker,Kevin Taylor,Image statique,Convenience,Ne manquez jamais votre dose,Juillet 2025,En ligne,2143.49,130,6173.25,2.88,16.49,139024,3615,2.60,2025-07-22
Créa Motion/Vidéo Abonnement - Sophie,Abonnement,Sophie Martin,Motion/Vidéo,Éducation,Ma transformation en 2 mois,Novembre 2025,En pause,2747.77,150,6814.47,2.48,18.32,85297,1825,2.14,2025-11-08
